"rep";"lac";"mu";"gam";"laa";"K";"lac2";"mu2";"gam2";"laa2";"trans";"trans2"
4;0,5;0,1;0,005;0,2;20;0,5;0,1;0,035;0,2;0,02;0,02
5;0,5;0,1;0,005;0,2;20;0,5;0,1;0,035;0,2;0,02;0,02
1;0,5;0,1;0,01;0,2;20;0,5;0,1;0,03;0,2;0,02;0,02
2;0,5;0,1;0,01;0,2;20;0,5;0,1;0,03;0,2;0,02;0,02
3;0,5;0,1;0,01;0,2;20;0,5;0,1;0,03;0,2;0,02;0,02
4;0,5;0,1;0,01;0,2;20;0,5;0,1;0,03;0,2;0,02;0,02
5;0,5;0,1;0,01;0,2;20;0,5;0,1;0,03;0,2;0,02;0,02
1;0,5;0,1;0,015;0,2;20;0,5;0,1;0,025;0,2;0,02;0,02
2;0,5;0,1;0,015;0,2;20;0,5;0,1;0,025;0,2;0,02;0,02
3;0,5;0,1;0,015;0,2;20;0,5;0,1;0,025;0,2;0,02;0,02
4;0,5;0,1;0,015;0,2;20;0,5;0,1;0,025;0,2;0,02;0,02
5;0,5;0,1;0,015;0,2;20;0,5;0,1;0,025;0,2;0,02;0,02
1;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,02
2;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,02
3;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,02
4;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,02
5;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,02
1;0,5;0,1;0,005;0,2;20;0,5;0,1;0,035;0,2;0,02;0,2
2;0,5;0,1;0,005;0,2;20;0,5;0,1;0,035;0,2;0,02;0,2
3;0,5;0,1;0,005;0,2;20;0,5;0,1;0,035;0,2;0,02;0,2
4;0,5;0,1;0,005;0,2;20;0,5;0,1;0,035;0,2;0,02;0,2
5;0,5;0,1;0,005;0,2;20;0,5;0,1;0,035;0,2;0,02;0,2
1;0,5;0,1;0,01;0,2;20;0,5;0,1;0,03;0,2;0,02;0,2
2;0,5;0,1;0,01;0,2;20;0,5;0,1;0,03;0,2;0,02;0,2
3;0,5;0,1;0,01;0,2;20;0,5;0,1;0,03;0,2;0,02;0,2
4;0,5;0,1;0,01;0,2;20;0,5;0,1;0,03;0,2;0,02;0,2
5;0,5;0,1;0,01;0,2;20;0,5;0,1;0,03;0,2;0,02;0,2
1;0,5;0,1;0,015;0,2;20;0,5;0,1;0,025;0,2;0,02;0,2
2;0,5;0,1;0,015;0,2;20;0,5;0,1;0,025;0,2;0,02;0,2
