"lam1";"lam2";"mu1";"mu2";"q12";"q21"
0,5;0,5;0;0;0,1;0,1
0,3;0,7;0;0;0,1;0,1
0,3;0,7;0;0;0,05;0,1
0,3;0,7;0;0;0,1;0,05
0,3;0,7;0,05;0,05;0,1;0,1
0,3;0,7;0,05;0;0,1;0,1
