"rep";"lac";"mu";"gam";"laa";"K";"lac2";"mu2";"gam2";"laa2";"trans";"trans2"
5;0,196822428458836;0,2;0,01;0,2;Inf;0,403177571541164;0,2;0,01;0,2;0,2;0,2
1;0,415322831424419;0,2;0,01;0,2;Inf;0,184677168575581;0,2;0,01;0,2;0,2;0,2
2;0,415322831424419;0,2;0,01;0,2;Inf;0,184677168575581;0,2;0,01;0,2;0,2;0,2
3;0,415322831424419;0,2;0,01;0,2;Inf;0,184677168575581;0,2;0,01;0,2;0,2;0,2
4;0,415322831424419;0,2;0,01;0,2;Inf;0,184677168575581;0,2;0,01;0,2;0,2;0,2
5;0,415322831424419;0,2;0,01;0,2;Inf;0,184677168575581;0,2;0,01;0,2;0,2;0,2
1;0,437597536446992;0,2;0,01;0,2;Inf;0,162402463553008;0,2;0,01;0,2;0,2;0,2
2;0,437597536446992;0,2;0,01;0,2;Inf;0,162402463553008;0,2;0,01;0,2;0,2;0,2
3;0,437597536446992;0,2;0,01;0,2;Inf;0,162402463553008;0,2;0,01;0,2;0,2;0,2
4;0,437597536446992;0,2;0,01;0,2;Inf;0,162402463553008;0,2;0,01;0,2;0,2;0,2
5;0,437597536446992;0,2;0,01;0,2;Inf;0,162402463553008;0,2;0,01;0,2;0,2;0,2
1;0,203460445266683;0,2;0,01;0,2;Inf;0,396539554733317;0,2;0,01;0,2;0,2;0,2
2;0,203460445266683;0,2;0,01;0,2;Inf;0,396539554733317;0,2;0,01;0,2;0,2;0,2
3;0,203460445266683;0,2;0,01;0,2;Inf;0,396539554733317;0,2;0,01;0,2;0,2;0,2
4;0,203460445266683;0,2;0,01;0,2;Inf;0,396539554733317;0,2;0,01;0,2;0,2;0,2
5;0,203460445266683;0,2;0,01;0,2;Inf;0,396539554733317;0,2;0,01;0,2;0,2;0,2
1;0,496963400463574;0,2;0,01;0,2;Inf;0,103036599536426;0,2;0,01;0,2;0,2;0,2
2;0,496963400463574;0,2;0,01;0,2;Inf;0,103036599536426;0,2;0,01;0,2;0,2;0,2
3;0,496963400463574;0,2;0,01;0,2;Inf;0,103036599536426;0,2;0,01;0,2;0,2;0,2
4;0,496963400463574;0,2;0,01;0,2;Inf;0,103036599536426;0,2;0,01;0,2;0,2;0,2
5;0,496963400463574;0,2;0,01;0,2;Inf;0,103036599536426;0,2;0,01;0,2;0,2;0,2
1;0,247458058455959;0,2;0,01;0,2;Inf;0,352541941544041;0,2;0,01;0,2;0,2;0,2
2;0,247458058455959;0,2;0,01;0,2;Inf;0,352541941544041;0,2;0,01;0,2;0,2;0,2
3;0,247458058455959;0,2;0,01;0,2;Inf;0,352541941544041;0,2;0,01;0,2;0,2;0,2
4;0,247458058455959;0,2;0,01;0,2;Inf;0,352541941544041;0,2;0,01;0,2;0,2;0,2
5;0,247458058455959;0,2;0,01;0,2;Inf;0,352541941544041;0,2;0,01;0,2;0,2;0,2
1;0,408234578883275;0,2;0,01;0,2;Inf;0,191765421116725;0,2;0,01;0,2;0,2;0,2
2;0,408234578883275;0,2;0,01;0,2;Inf;0,191765421116725;0,2;0,01;0,2;0,2;0,2
3;0,408234578883275;0,2;0,01;0,2;Inf;0,191765421116725;0,2;0,01;0,2;0,2;0,2
4;0,408234578883275;0,2;0,01;0,2;Inf;0,191765421116725;0,2;0,01;0,2;0,2;0,2
5;0,408234578883275;0,2;0,01;0,2;Inf;0,191765421116725;0,2;0,01;0,2;0,2;0,2
1;0,568197738134768;0,2;0,01;0,2;Inf;0,0318022618652322;0,2;0,01;0,2;0,2;0,2
2;0,568197738134768;0,2;0,01;0,2;Inf;0,0318022618652322;0,2;0,01;0,2;0,2;0,2
3;0,568197738134768;0,2;0,01;0,2;Inf;0,0318022618652322;0,2;0,01;0,2;0,2;0,2
4;0,568197738134768;0,2;0,01;0,2;Inf;0,0318022618652322;0,2;0,01;0,2;0,2;0,2
5;0,568197738134768;0,2;0,01;0,2;Inf;0,0318022618652322;0,2;0,01;0,2;0,2;0,2
1;0,103038867982104;0,2;0,01;0,2;Inf;0,496961132017896;0,2;0,01;0,2;0,2;0,2
2;0,103038867982104;0,2;0,01;0,2;Inf;0,496961132017896;0,2;0,01;0,2;0,2;0,2
3;0,103038867982104;0,2;0,01;0,2;Inf;0,496961132017896;0,2;0,01;0,2;0,2;0,2
4;0,103038867982104;0,2;0,01;0,2;Inf;0,496961132017896;0,2;0,01;0,2;0,2;0,2
5;0,103038867982104;0,2;0,01;0,2;Inf;0,496961132017896;0,2;0,01;0,2;0,2;0,2
1;0,0949440676951781;0,2;0,01;0,2;Inf;0,505055932304822;0,2;0,01;0,2;0,2;0,2
2;0,0949440676951781;0,2;0,01;0,2;Inf;0,505055932304822;0,2;0,01;0,2;0,2;0,2
3;0,0949440676951781;0,2;0,01;0,2;Inf;0,505055932304822;0,2;0,01;0,2;0,2;0,2
4;0,0949440676951781;0,2;0,01;0,2;Inf;0,505055932304822;0,2;0,01;0,2;0,2;0,2
5;0,0949440676951781;0,2;0,01;0,2;Inf;0,505055932304822;0,2;0,01;0,2;0,2;0,2
1;0,3;0,363924271147698;0,01;0,2;Inf;0,3;0,0360757288523018;0,01;0,2;0;0
2;0,3;0,363924271147698;0,01;0,2;Inf;0,3;0,0360757288523018;0,01;0,2;0;0
3;0,3;0,363924271147698;0,01;0,2;Inf;0,3;0,0360757288523018;0,01;0,2;0;0
4;0,3;0,363924271147698;0,01;0,2;Inf;0,3;0,0360757288523018;0,01;0,2;0;0
5;0,3;0,363924271147698;0,01;0,2;Inf;0,3;0,0360757288523018;0,01;0,2;0;0
1;0,3;0,0246001006104052;0,01;0,2;Inf;0,3;0,375399899389595;0,01;0,2;0;0
2;0,3;0,0246001006104052;0,01;0,2;Inf;0,3;0,375399899389595;0,01;0,2;0;0
3;0,3;0,0246001006104052;0,01;0,2;Inf;0,3;0,375399899389595;0,01;0,2;0;0
4;0,3;0,0246001006104052;0,01;0,2;Inf;0,3;0,375399899389595;0,01;0,2;0;0
5;0,3;0,0246001006104052;0,01;0,2;Inf;0,3;0,375399899389595;0,01;0,2;0;0
1;0,3;0,240214007813483;0,01;0,2;Inf;0,3;0,159785992186517;0,01;0,2;0;0
