"";"expr";"min";"lq";"mean";"median";"uq";"max";"neval"
"1";"runif(100)";3,7;4;8,58;4,25;4,6;45,3;10
"2";"rexp(100)";4,9;5,1;8,33;5,6;6;24,6;10
